backend,dataset,n,mean_f1,min_f1,max_f1,mean_ms
bert_onnx,MultiNERD,3,0.7978,0.7253,0.8682,1566.0
bert_onnx,WikiGold,71,0.6479,0.4277,1.0,844.0
bert_onnx,WNUT-17,68,0.2312,0.0,0.5455,782.0
bert_onnx,Few-NERD,2,0.2097,0.1096,0.3099,598.0
bert_onnx,WikiANN,2,0.1645,0.0937,0.2353,831.0
bert_onnx,MasakhaNER,15,0.1439,0.0367,0.2574,1796.0
bert_onnx,AnatEM,2,0.0,0.0,0.0,1468.0
bert_onnx,BC2GM,2,0.0,0.0,0.0,1270.0
bert_onnx,BC4CHEMD,2,0.0,0.0,0.0,900.0
bert_onnx,BC5CDR,3,0.0,0.0,0.0,696.0
bert_onnx,"CoNLL-2003 Sample",11,0.0,0.0,0.0,529.0
bert_onnx,CrossNER,2,0.0,0.0,0.0,1152.0
bert_onnx,FabNER,2,0.0,0.0,0.0,881.0
bert_onnx,GENIA,2,0.0,0.0,0.0,1038.0
bert_onnx,JNLPBA,3,0.0,0.0,0.0,2578.0
bert_onnx,"MIT Movie",6,0.0,0.0,0.0,590.0
bert_onnx,"MIT Restaurant",5,0.0,0.0,0.0,543.0
bert_onnx,"NCBI Disease",2,0.0,0.0,0.0,644.0
bilstm_crf,MultiNERD,3,0.1006,0.0,0.1509,1.0
bilstm_crf,WikiANN,2,0.0333,0.0,0.0667,0.0
bilstm_crf,WikiGold,204,0.0132,0.0,0.0588,28.0
bilstm_crf,AnatEM,2,0.0,0.0,0.0,1.0
bilstm_crf,BC2GM,2,0.0,0.0,0.0,0.0
bilstm_crf,BC4CHEMD,2,0.0,0.0,0.0,2.0
bilstm_crf,CrossNER,2,0.0,0.0,0.0,3.0
bilstm_crf,FabNER,2,0.0,0.0,0.0,0.0
bilstm_crf,GENIA,2,0.0,0.0,0.0,2.0
bilstm_crf,JNLPBA,3,0.0,0.0,0.0,1.0
bilstm_crf,WNUT-17,13,0.0,0.0,0.0,3.0
candle_ner,WikiGold,2,0.5553,0.4,0.7105,18485.0
candle_ner,WNUT-17,2,0.3952,0.2449,0.5455,21066.0
crf,MasakhaNER,7,0.0572,0.0482,0.1111,198.0
crf,WikiGold,81,0.0219,0.0,0.4,185.0
crf,WNUT-17,91,0.0015,0.0,0.08,144.0
crf,BC5CDR,2,0.0,0.0,0.0,267.0
crf,"Broad Twitter Corpus",4,0.0,0.0,0.0,7.0
crf,"CoNLL-2003 Sample",61,0.0,0.0,0.0,147.0
crf,FabNER,14,0.0,0.0,0.0,600.0
crf,Few-NERD,2,0.0,0.0,0.0,198.0
crf,JNLPBA,20,0.0,0.0,0.0,880.0
crf,"MIT Movie",4,0.0,0.0,0.0,18.0
crf,"MIT Restaurant",5,0.0,0.0,0.0,54.0
crf,"NCBI Disease",2,0.0,0.0,0.0,345.0
crf,WikiANN,11,0.0,0.0,0.0,70.0
ensemble,MultiNERD,3,0.575,0.4301,0.6479,906.0
ensemble,WikiGold,351,0.3053,0.0833,0.5679,74.0
ensemble,WNUT-17,31,0.2883,0.1495,0.4468,610.0
ensemble,AnatEM,2,0.0,0.0,0.0,465.0
ensemble,"CoNLL-2003 Sample",33,0.0,0.0,0.0,254.0
ensemble,FabNER,15,0.0,0.0,0.0,142.0
ensemble,GENIA,7,0.0,0.0,0.0,205.0
ensemble,JNLPBA,14,0.0,0.0,0.0,303.0
gliner2,MultiNERD,4,0.5036,0.4186,0.6923,5476.0
gliner2,WikiGold,62,0.469,0.2222,1.0,5705.0
gliner2,Few-NERD,3,0.427,0.3662,0.4746,6923.0
gliner2,WNUT-17,56,0.3804,0.0,0.8571,5825.0
gliner2,WikiANN,2,0.3387,0.2647,0.4127,5129.0
gliner2,"MIT Movie",4,0.3344,0.1558,0.6667,4657.0
gliner2,AnatEM,3,0.2785,0.2326,0.3529,5278.0
gliner2,MasakhaNER,33,0.2037,0.0682,0.3585,8192.0
gliner2,BC2GM,2,0.1837,0.1702,0.1972,4792.0
